nodename,batch,solution,version,git,task,data,timestamp,action,stderr
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_2e0_0_0,1544011129.2509,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_2e0_0_0,1544011340.41621,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_2e0_0_0,1544011340.42847,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_2e0_0_0,1544013656.60339,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_1,1544013656.65869,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e7_1e2_0_1,1544013664.30413,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_1,1544013664.31412,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e8_1e2_0_1,1544013719.07547,finish,0
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_1,1544013719.08945,start,
mr-0xc11,1544008625,data.table,1.11.9,a3dafe34d6a2f42e80e19c73178e76bd2ae2724d,groupby,G1_1e9_1e2_0_1,1544014379.97536,finish,0
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_0,1544014379.99176,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_0,1544014390.3003,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_0,1544014390.31053,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_0,1544014552.936,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_0,1544014552.94976,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_0,1544016607.82576,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e1_0_0,1544016607.83863,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e1_0_0,1544016631.21162,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e1_0_0,1544016631.22582,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e1_0_0,1544016912.0904,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e1_0_0,1544016912.10458,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e1_0_0,1544020334.2067,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_2e0_0_0,1544020334.28526,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_2e0_0_0,1544020384.44602,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_2e0_0_0,1544020384.46014,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_2e0_0_0,1544020929.61546,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_2e0_0_0,1544020929.64741,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_2e0_0_0,1544022018.02881,finish,6
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_1,1544022018.28957,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e7_1e2_0_1,1544022029.60192,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_1,1544022029.61407,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e8_1e2_0_1,1544022173.77938,finish,1
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_1,1544022173.78954,start,
mr-0xc11,1544008625,dplyr,0.7.99.9000,cd87394c5ece3885fbc3ac38fdae362f6b1839ed,groupby,G1_1e9_1e2_0_1,1544023966.07747,finish,1
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_1e2_0_0,1544023966.10058,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_1e2_0_0,1544023966.15928,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_0,1544023966.17667,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_0,1544024556.94368,finish,8
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_1e1_0_0,1544024557.06845,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_1e1_0_0,1544024557.08956,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e1_0_0,1544024557.10491,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e1_0_0,1544025171.0562,finish,8
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_2e0_0_0,1544025171.15517,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_2e0_0_0,1544025171.17529,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_2e0_0_0,1544025171.19155,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_2e0_0_0,1544025815.15031,finish,8
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e7_1e2_0_1,1544025815.24909,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e8_1e2_0_1,1544025815.26948,skip,2
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_1,1544025815.28441,start,
mr-0xc11,1544008625,pandas,0.23.4,,groupby,G1_1e9_1e2_0_1,1544026421.00427,finish,8
mr-0xc11,1544008625,pydatatable,0.7.0,7207d46e99da39dda000a0892067f90ce64046a6,groupby,G1_1e7_1e2_0_0,1544026421.11314,start,
