nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1544889852,1544927328.3852284,groupby,G1_1e7_1e1_0_0,10000000,sum v1:v3 by id6,999969,3,pandas,0.23.4,,.groupby,2,1.969,0.997,TRUE,30001016;29998058;506570021.499,0.01,
mr-0xc11,1544889852,1544927354.8427858,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,1,pandas,0.23.4,,.groupby,1,0.141,1.158,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927355.0413685,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,1,pandas,0.23.4,,.groupby,2,0.144,1.158,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927355.4435914,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,1,pandas,0.23.4,,.groupby,1,0.393,1.167,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927355.842773,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,1,pandas,0.23.4,,.groupby,2,0.39,1.158,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927360.571494,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,2,pandas,0.23.4,,.groupby,1,4.691,1.271,TRUE,30001016;218993175.266,0.029,
mr-0xc11,1544889852,1544927364.8904762,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323484,2,pandas,0.23.4,,.groupby,2,4.274,1.303,TRUE,30001016;218993175.266,0.03,
mr-0xc11,1544889852,1544927365.2975802,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,3,pandas,0.23.4,,.groupby,1,0.389,1.158,TRUE,6.0;6.0;101.314,0.001,
mr-0xc11,1544889852,1544927365.6966705,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,3,pandas,0.23.4,,.groupby,2,0.389,1.158,TRUE,6.0;6.0;101.314,0.001,
mr-0xc11,1544889852,1544927370.1438098,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4323579,3,pandas,0.23.4,,.groupby,1,4.376,1.255,TRUE,30001016;29998058;506570021.499,0.062,
mr-0xc11,1544889852,1544927374.6019368,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4323579,3,pandas,0.23.4,,.groupby,2,4.384,1.255,TRUE,30001016;29998058;506570021.499,0.06,
mr-0xc11,1544889852,1544927387.2044928,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,1,0.143,0.482,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927387.3808827,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,1,pandas,0.23.4,,.groupby,2,0.145,0.482,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927387.7929566,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,1,0.403,0.491,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927388.2011635,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,1,pandas,0.23.4,,.groupby,2,0.399,0.482,TRUE,30001016,0.0,
mr-0xc11,1544889852,1544927388.5913298,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,2,pandas,0.23.4,,.groupby,1,0.38,0.482,TRUE,30001016;5065689.539,0.001,
mr-0xc11,1544889852,1544927388.9732878,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,2,pandas,0.23.4,,.groupby,2,0.372,0.482,TRUE,30001016;5065689.539,0.001,
mr-0xc11,1544889852,1544927389.378754,groupby,G1_1e7_1e2_0_1,10000000,mean v1:v3 by id4,100,3,pandas,0.23.4,,.groupby,1,0.396,0.482,TRUE,300.01;299.98;5065.702,0.001,
